,Lunch,No Lunch,,,,,,Meat bun / Chinese / Savory,Free,1.37pm,Home,3,5,Carbonara pasta n soft drinks,$7.20,1.30pm,North spine,4,5,"Hamburg and sunny side up (Western, savoury)",free,12:45,Home,5,5,"Steamed Dumplings, Chinese, Savory",4.5,10:41,Sim Lim Square,3,5
,Dinner,"Ramen, Steak, Egg (Fusion, Savoury)",Free,19:30,Hall,2,2,Fried rice / Chinese / savory,$13.8,7.41pm,Takashimaya,5,5,Gyoza,$5,20:00,North hill,4,4,"Porridge with pan fried fish and stir fried cabbage (Chinese, savoury)",free,19:00,Home,4,4,"Nasi Padang, Malay, Savory",Free,20:31,NUS SDE4,2,4
Wednesday,Breakfast,No Breakfast,,,,,,No breakfast,,,,,,Muffin,$4,08:00,Room,3,4,Water,free,11:00,Home,4,5,"Egg Sandwich, Savory",Free,08:12,Home,3,5
,Lunch,"Kimchi Fried Rice, Steak, Egg (Fusion, Savoury)",Free,15:00,Hall,3,5,Instant noodles / Korean / savory ,Free,2.35pm,Home,2,4,Bibimbap,$6,13:00,South spine,4,4,"Lotus root soup, cod, rice (Chinese, savoury)",free,12:45,Home,5,4,"Chicken Rice, Hainanese, Savory",$4.5,13:12,NTU ADM,2,3
,Dinner,"Cheesy Stack Burger with Fries (Korean, Savoury)",$10.80,22:30,4 Fingers,2,5,Cheeries / sweet,Free,8.47pm,Home,4,5,-,,,North hill,,,Mee hoon kueh (Chinese),free,18:30,Home,5,5,"Ban Mian, Chinese, Savory",$4.5,19:26,Home,3,4
Thursday,Breakfast,No Breakfast,,,,,,Sesame buns / Chinese / sweet,Free,9.37am,Home,3,4,Milk and apple,Free,08:00,Room,5,5,"Wang Wang biscuit (Chinese, Sweet)",$0.20,09:15,Hall,3,3,"Tuna Sandwich, Savory",Free,09:13,Home,4,4
,Lunch, Cheese Pancake,$1.80,14:00,Mr Bean,3,2,Dumpling / Chinese / savory,Free,2.18pm,Home,5,5,Fishball noodles,$5,13:00,Maxwell food centre,4,4,"Braised pork rice (Chinese, savoury)",$5.80,12:30,South Spine Canteen,4,2,"Pumpkin Salad, Savory",$5,13:05,NTU ADM,5,3
,Dinner,"Ramen, Egg, Salmon (Japanese, Savoury)",Free,18:00,Hall,3,4,Beef lasagne / Western / savory,$19.9,7.15pm,Home,5,5,Taiwanese fried chicken with rice n veggie,$7,18:00,North hill,3,4,"Mala (Chinese, savoury)",$6.30,17:30,Tama canteen,4,5,"Fried and Steamed Dumplings, Chinese, Savory",$8,17:23,NTU ADM,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assignment Instructions:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Document what you eat and drink for your meals 
(breakfast, lunch, tea, dinner, supper, etc) starting tomorrow.Recording the following information:
- Price
- Cuisine type / drink type
- Taste profile (e.g. sweet, savoury, etc)
- Time of meal
- Location of meal
- Nutrition value (scale of 1–5, with 5 as healthiest)
- Satisfaction value (scale of 1–5, with 5 as most satisfied)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
